sct_id_1,sct_code_1,sct_id_2,sct_code_2
312585004,1,90507008,1
111293003,1,90507008,1
5880005,1,363072000,1
282446002,1,127275008,1
27635008,1,410720000,1
88230002,1,928000,1
312225001,1,928000,1
8316001,1,928000,1
40668007,1,928000,1
269466003,1,928000,1
399269003,1,928000,1
75047002,1,928000,1
312154004,1,928000,1
363179006,1,928000,1
105606008,1,928000,1
363229000,1,928000,1
36012007,1,767307008,1
11257001,1,767307008,1
106128004,1,271595008,1
844005,1,271595008,1
36456004,1,271595008,1
40930008,1,14304000,1
125682004,1,787040000,1
39785005,1,480000,1
59282003,1,480000,1
64662007,1,480000,1
281158006,1,480000,1
182349006,1,182347008,1
243990009,1,182347008,1
263671009,1,182347008,1
234466008,1,64779008,1
86075001,1,64779008,1
267272006,1,64779008,1
29268000,1,415531008,1
106076001,1,415531008,1
247440002,1,415531008,1
1086007,1,57312000,1
399937000,1,48075008,1
118964002,1,48075008,1
361692004,1,48075008,1
277905003,1,48075008,1
128598002,1,48075008,1
39937001,1,48075008,1
69707008,1,48075008,1
125592002,1,48075008,1
396328009,1,48075008,1
106077005,1,48075008,1
263654008,1,276800000,1
277905003,1,69707008,1
254666005,1,69707008,1
9014002,1,69707008,1
399937000,1,69707008,1
429271009,1,473088000,1
473094008,1,473088000,1
116007004,1,420864000,1
303270005,1,420864000,1
119414006,1,298379008,1
410730009,1,298379008,1
299733008,1,298379008,1
298384002,1,298379008,1
116275003,1,298379008,1
367640003,1,277739008,1
367639000,1,277739008,1
367636007,1,277739008,1
40275004,1,127072000,1
212999007,1,127072000,1
21957007,1,127072000,1
106190000,1,127072000,1
80266002,1,699595008,1
52731004,1,699595008,1
82849001,1,699595008,1
19203006,1,699595008,1
58825001,1,122944000,1
274449004,1,122944000,1
249496004,1,300288001,1
128260003,1,181216001,1
119199005,1,181216001,1
113254000,1,181216001,1
127255004,1,68171009,1
94181007,1,68171009,1
609298005,1,117259009,1
395538009,1,117259009,1
104157003,1,117259009,1
414915002,1,363808001,1
238136002,1,363808001,1
238131007,1,363808001,1
840358001,1,363808001,1
107647005,1,363808001,1
414916001,1,363808001,1
91302008,1,264395009,1
238151006,1,264395009,1
409792002,1,264395009,1
105592009,1,264395009,1
115166000,1,264395009,1
49872002,1,264395009,1
76571007,1,264395009,1
41146007,1,264395009,1
23496000,1,264395009,1
36272005,1,264395009,1
417751005,1,264395009,1
279499002,1,264395009,1
419708002,1,264395009,1
238149007,1,264395009,1
415671008,1,264395009,1
289924001,1,264395009,1
40238009,1,302539009,1
304575007,1,302539009,1
283992002,1,302539009,1
127950000,1,302539009,1
310794003,1,302539009,1
310792004,1,302539009,1
302541005,1,302539009,1
7569003,1,302539009,1
125685002,1,302539009,1
120577001,1,302539009,1
302158005,1,302539009,1
363021009,1,116224001,1
12456005,1,116224001,1
429271009,1,116224001,1
71695001,1,116224001,1
88797001,1,116224001,1
73862001,1,116224001,1
363017002,1,116224001,1
90354008,1,116224001,1
1.22E+016,1,116224001,1
312087002,1,116224001,1
473459007,1,116224001,1
706912001,1,116224001,1
473023007,1,116224001,1
182782007,1,363168001,1
31928004,1,363168001,1
703938007,1,363168001,1
2748008,1,281248001,1
276437003,1,72651009,1
225552003,1,72651009,1
69707008,1,72651009,1
106076001,1,72651009,1
282281003,1,72651009,1
297971001,1,72651009,1
247440002,1,72651009,1
